id,x,y,shape,year,Degree,Random walk betweenness centrality,Betweenness centrality,Average neighbor degree,Clustering coef,index,iso3,name,gross import,constantGDP_percapita,corruption_index,GINI,per capita GDP growth,Trade % of GDP,gov_expend_on_health_%GDP,FDI_inflow_%GDP,gov_expend_on_educ_%GDP,tetrietary_school_enrollment,natural_resource_rents_%GDP,ICT_goods_export%exports,R&D_expenditues%GDP,domestic_credit_to_private_sector%GDP,Region Name,Sub-region Name,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries,WTO,herfindahl index,log_Gdp
25,0.7512,0.6529,0.5000,2000,40,0.003341028190195164,1.9265672788074763e-05,144.2,0.9705128205128205,BT,BTN,Bhutan,,1119.76,83.76,,4.56,65.49,3.43,,5.51,,3.86,,,9.16,Asia,Southern Asia,1,1,0,0.0,0,,7.02086965561239
21,0.3234,0.4095,0.5000,2000,107,0.0076086714095266374,0.0005004339983923639,134.60747663551402,0.9197672368189032,BO,BOL,"Bolivia, Plurinational State of",1769198.7099999993,1601.42,37.06,61.6,0.54,36.44,2.43,8.77,,,4.1,0.19,0.29,58.72,Americas,Latin America and the Caribbean,0,1,0,0.0,0,1157.301564597914,7.378646014632608
18,0.5491,0.744,0.5000,2000,74,0.0053901752454966695,2.5768097010829767e-05,143.6891891891892,0.987782302850796,BA,BIH,Bosnia and Herzegovina,,3018.39,33.5,,5.28,75.85,4.09,2.65,,20.97,1.22,,,37.37,Europe,Southern Europe,0,0,0,1.0,0,,8.012478855631096
26,0.5686,0.376,0.5000,2000,78,0.006035053116830639,0.00016197875502071957,138.3846153846154,0.949050949050949,BW,BWA,Botswana,1992840.99,5211.07,78.68,,-0.06,82.17,3.19,0.99,,7.35,1.45,0.68,,14.71,Africa,Sub-Saharan Africa,0,1,0,0.0,1,5788.692909321372,8.558540487941233
22,0.3558,0.4209,0.5000,2000,155,0.011577967363371848,0.0036495804749830437,121.7483870967742,0.7744449099287809,BR,BRA,Brazil,54406888.97600002,8803.15,58.88,,2.91,17.36,3.47,5.03,3.95,,2.61,4.05,1.05,31.14,Americas,Latin America and the Caribbean,0,0,0,0.0,1,917.9859828838391,9.082864890961309
24,0.8187,0.5252,0.5000,2000,67,0.005145395125609803,5.5001282321602386e-05,142.4179104477612,0.9728629579375848,BN,BRN,Brunei Darussalam,,35931.6,67.01,,0.7,83.48,2.14,9.16,3.71,12.69,29.79,,,50.29,Asia,South-eastern Asia,0,0,0,0.0,1,,10.48937241014865
15,0.5708,0.7374,0.5000,2000,150,0.010818672625210784,0.0028423003209415406,123.50666666666666,0.79668903803132,BG,BGR,Bulgaria,4651958.934999997,3955.28,53.81,,5.28,86.64,3.5,7.61,,44.13,1.38,0.79,0.5,12.04,Europe,Eastern Europe,0,0,0,1.0,1,740.5313765900162,8.28280667415598
13,0.4957,0.568,0.5000,2000,117,0.008744853583072068,0.0011146708685516975,129.008547008547,0.8631005010315355,BF,BFA,Burkina Faso,707418.4270000001,434.76,57.36,,-1.03,31.19,1.08,0.88,,,5.98,0.3,,11.63,Africa,Sub-Saharan Africa,1,1,0,0.0,1,1185.780684813529,6.074794154694986
10,0.5831,0.4813,0.5000,2000,83,0.0061367756677085045,0.00011677525469960794,138.9156626506024,0.9615045548045842,BI,BDI,Burundi,146922.3180000001,229.21,26.4,,-2.59,22.75,1.47,1.34,2.65,1.22,15.05,0.0,,17.08,Africa,Sub-Saharan Africa,1,1,0,0.0,1,824.6666219076224,5.434638613906275
84,0.7916,0.5698,0.5000,2000,107,0.007950549744742144,0.0007254643635117403,132.1214953271028,0.8917298536413331,KH,KHM,Cambodia,1242392.882,431.2,16.75,,8.26,90.49,1.29,3.22,1.66,2.48,2.45,0.04,,6.34,Asia,South-eastern Asia,1,0,0,0.0,1,1115.3450348539016,6.066572019594787
