Clustering_coef,Degree,Developed / Developing Countries,FDI_inflow_GDP,GINI,ICT_goods_export,Land Locked Developing Countries (LLDC),Least Developed Countries (LDC),Population,Population_growth,RD_expenditures_GDP,Region Name,Small Island Developing States (SIDS),Sub-region Name,Trade_GDP,Trade_bn_usd,WTO,constantGDP_percapita,corruption_index,domestic_credit_to_private_sector_GDP,gov_expend_on_educ_GDP,gov_expend_on_health_GDP,gross_import,id,index,iso3,life_expectancy,log_Gdp,name,natural_resource_rents_GDP,per_capita_GDP_growth,secondary_educ_gross_enrollment,shape,x,y,year,herfindahl index,Pop_MA,Pop_gr_MA,Trade_MA,life_exp_MA,gdp_MA,gdp_gr_MA,corup_MA,FDI_MA,clus_MA,herf_MA
7.409494926156581e-05,4952418.426440581,1.0,7.85,33.2,0.03,0.0,0.0,2873457.0,-0.09,,Europe,0.0,Southern Europe,58.06,4.95241842644058,1.0,4865.21,42.31,35.07,3.61,4.28,2706484.161047487,2,AL,ALB,78.33,8.48986515915613,Albania,1.7,3.92,95.27,0.5000,0.556,0.7286,2017,2302.673459644429,2888280.2,-0.20199999999999982,56.052,77.766,8.398940578620941,2.153999999999999,33.690000000000005,8.690000000000001,8.388649247723575e-05,1799.8343397722886
0.00042228343128416785,26887066.791999996,0.0,0.51,,0.01,0.0,0.0,31042235.0,1.36,,Africa,0.0,Northern Africa,56.95,26.887066791999995,0.0,3557.58,18.78,5.97,,2.51,9005033.205,44,DZ,DZA,70.64,8.1768358174132,Algeria,24.31,2.4,65.12,0.5000,0.5046,0.6557,2000,972.4605756968964,29716665.8,1.6400000000000001,45.69799999999999,69.34000000000002,8.11597074990387,1.7779999999999991,,,,
0.00043633645448769857,26244615.116000008,0.0,2.03,,0.0,0.0,0.0,31451514.0,1.31,0.23,Africa,0.0,Northern Africa,53.11,26.24461511600001,0.0,3616.62,,8.01,,2.93,9749840.133000003,44,DZ,DZA,71.12,8.193295166991442,Algeria,21.73,1.66,68.82,0.5000,0.5046,0.6557,2001,987.3504191061876,30173555.8,1.53,47.33799999999999,69.76000000000002,8.134614175353411,1.8899999999999992,,,,
0.0005587532948580933,28443261.489999995,0.0,1.88,,0.01,0.0,0.0,31855109.0,1.28,0.37,Africa,0.0,Northern Africa,54.21,28.443261489999994,0.0,3770.77,23.23,12.2,,2.81,11536166.111000001,44,DZ,DZA,71.6,8.235034503618914,Algeria,21.77,4.26,71.95,0.5000,0.5046,0.6557,2002,909.3883932415416,30610577.6,1.4420000000000002,48.44199999999999,70.20000000000002,8.152019768794023,1.7639999999999993,,,,
0.0005084324044070366,35291460.59300001,0.0,0.94,,0.0,0.0,0.0,32264157.0,1.28,0.2,Africa,0.0,Northern Africa,52.37,35.29146059300001,0.0,3991.01,28.79,11.22,,2.76,12963729.631000007,44,DZ,DZA,72.1,8.29179961068328,Algeria,23.34,5.84,74.1,0.5000,0.5046,0.6557,2003,921.1786446598552,31033003.6,1.374,49.90999999999999,70.656,8.178816007495826,2.7199999999999993,,,,
0.0005447573997834949,46771735.106000006,0.0,1.03,,0.01,0.0,0.0,32692163.0,1.32,0.16,Africa,0.0,Northern Africa,57.98,46.77173510600001,0.0,4108.13,27.8,11.0,,2.53,17494532.616,44,DZ,DZA,72.59,8.320723216117358,Algeria,25.02,2.93,77.51,0.5000,0.5046,0.6557,2004,860.3890534431059,31447284.2,1.33,52.245999999999995,71.128,8.210018074215814,3.1819999999999995,,,,
0.0005845238127805672,59628514.83600001,0.0,1.12,,0.01,0.0,0.0,33149724.0,1.39,0.07,Africa,0.0,Northern Africa,64.3,59.62851483600001,0.0,4290.46,40.0,11.93,,2.24,19407861.870999996,44,DZ,DZA,73.07,8.364149232280981,Algeria,33.14,4.44,78.99,0.5000,0.5046,0.6557,2005,842.4482779469656,31861035.6,1.31,54.924,71.61,8.24353766296484,3.418,,1.278000000000001,0.0004941125969640983,930.1534172295175
0.0006447619318481689,69550013.20899999,0.0,1.57,,0.01,0.0,0.0,33641002.0,1.47,,Africa,0.0,Northern Africa,65.0,69.55001320899999,0.0,4299.68,36.59,12.12,,2.3,21008274.808999993,44,DZ,DZA,73.52,8.366295880307801,Algeria,35.27,0.21,79.88,0.5000,0.5046,0.6557,2006,775.1739348893786,32282533.4,1.316,56.394000000000005,72.096,8.281000345938397,3.8260000000000005,,1.400000000000001,0.0005265606732633781,904.1509576795312
0.0006917935871554303,80089816.66899997,0.0,1.25,,0.0,0.0,0.0,34166972.0,1.55,,Africa,0.0,Northern Africa,65.04,80.08981666899997,0.0,4377.43,34.47,12.99,,2.67,27005058.353999987,44,DZ,DZA,73.94,8.384217073169788,Algeria,33.15,1.81,70.31,0.5000,0.5046,0.6557,2007,677.2808882702009,32720431.0,1.348,58.772000000000006,72.576,8.31560048860167,3.5360000000000005,31.282000000000004,1.3080000000000012,0.0005682457687354721,861.7156608361695
0.0008796103753169593,107615200.0252498,0.0,1.54,,0.0,0.0,0.0,34730608.0,1.64,,Africa,0.0,Northern Africa,69.46,107.61520002524979,0.0,4409.74,33.01,12.8,4.34,3.03,38572877.53900002,44,DZ,DZA,74.31,8.391571009786764,Algeria,34.89,0.74,76.7,0.5000,0.5046,0.6557,2008,726.5602008271331,33182803.6,1.4020000000000001,60.93800000000001,73.04400000000001,8.345437002511844,3.0460000000000003,33.53000000000001,1.1820000000000013,0.0005948538271949395,815.2941598419013
0.0007697973482811326,83573127.38294064,0.0,2.0,,0.0,0.0,0.0,35333881.0,1.72,,Africa,0.0,Northern Africa,61.56,83.57312738294064,0.0,4403.8,33.49,16.27,,3.8,38273879.029999994,44,DZ,DZA,74.64,8.390223083550685,Algeria,25.45,-0.13,92.88,0.5000,0.5046,0.6557,2009,720.9496375486021,33676093.8,1.474,64.35600000000001,73.48600000000002,8.365391282332542,2.0260000000000007,34.37400000000001,1.3020000000000014,0.000669089421376924,776.3704710753569
0.0006999826668376641,95763449.83499093,0.0,1.43,,0.0,0.0,0.0,35977455.0,1.81,,Africa,0.0,Northern Africa,60.5,95.76344983499094,0.0,4480.72,36.67,15.21,,3.56,39570143.91800001,44,DZ,DZA,74.94,8.407539026781588,Algeria,26.92,1.75,96.94,0.5000,0.5046,0.6557,2010,689.3196468005383,34204437.4,1.5539999999999998,65.072,73.896,8.379291255819208,1.4140000000000004,35.51200000000001,1.4960000000000013,0.0007140974110764517,748.4825878964563
0.0007539016855957171,117499846.2404739,0.0,1.29,27.6,0.0,0.0,0.0,36661444.0,1.88,,Africa,0.0,Northern Africa,60.36,117.4998462404739,0.0,4524.64,35.07,13.72,,3.72,45752352.66700002,44,DZ,DZA,75.2,8.417293294958071,Algeria,31.59,0.98,99.61,0.5000,0.5046,0.6557,2011,652.895108135148,34769983.6,1.638,64.312,74.27000000000001,8.387969214719329,0.8760000000000003,34.846000000000004,1.5580000000000014,0.0007371891818878709,717.8568616671707
0.0007803656835338601,118981190.65032035,0.0,0.72,,0.0,0.0,0.0,37383887.0,1.95,,Africa,0.0,Northern Africa,58.47,118.98119065032036,0.0,4588.07,37.44,14.03,,4.38,48714666.725999996,44,DZ,DZA,75.44,8.431214735325549,Algeria,30.82,1.4,,0.5000,0.5046,0.6557,2012,643.6357425423232,35374072.0,1.72,63.384,74.60600000000001,8.398168697649382,1.0300000000000002,34.542,1.5020000000000013,0.0007590171326373806,693.4010963163246
0.000740072269127235,115869207.27940863,0.0,0.81,,0.0,0.0,0.0,38140132.0,2.0,,Africa,0.0,Northern Africa,57.21,115.86920727940863,0.0,4623.02,39.34,16.5,,4.29,52424013.31300002,44,DZ,DZA,75.66,8.438803450173978,Algeria,28.26,0.76,,0.5000,0.5046,0.6557,2013,650.9216042931687,36017455.0,1.7999999999999996,62.06999999999999,74.906,8.407568230080534,0.9480000000000001,35.136,1.3960000000000015,0.0007767315519130667,686.672067170749
